start_time,end_time,duration,asleep,soothing
2019-11-21 18:30:32,2019-11-21 18:31:52,80,80,0
2019-11-22 04:03:22,2019-11-22 05:07:17,3835,2422,1413
2019-11-22 05:53:24,2019-11-22 05:54:27,63,36,27
2019-11-22 05:52:51,2019-11-22 07:01:11,4100,3140,960
2019-11-22 22:51:19,2019-11-22 23:20:48,1769,1289,480
2019-11-23 00:08:07,2019-11-23 01:20:45,4358,3878,480
2019-11-23 01:50:52,2019-11-23 02:04:31,819,36,783
2019-11-23 02:03:24,2019-11-23 02:24:37,1273,75,1198
2019-11-23 03:21:17,2019-11-23 03:23:35,138,13,125
2019-11-23 04:02:47,2019-11-23 06:03:07,7220,6360,860
2019-11-23 23:44:47,2019-11-24 00:32:57,2890,2890,0
2019-11-24 00:49:48,2019-11-24 00:50:11,23,23,0
2019-11-24 00:50:16,2019-11-24 00:50:22,6,6,0
2019-11-24 00:50:30,2019-11-24 00:50:51,21,12,9
2019-11-24 01:38:47,2019-11-24 03:00:18,4891,4891,0
2019-11-24 03:41:38,2019-11-24 03:57:06,928,928,0
2019-11-24 04:04:18,2019-11-24 06:05:03,7245,7245,0
2019-11-24 06:33:39,2019-11-24 07:05:03,1884,1884,0
2019-11-24 08:10:47,2019-11-24 08:10:56,9,9,0
2019-11-24 08:10:45,2019-11-24 08:15:17,272,272,0
2019-11-24 08:44:46,2019-11-24 10:09:32,5086,5066,20
2019-11-24 11:04:48,2019-11-24 12:25:42,4854,4854,0
2019-11-24 13:28:09,2019-11-24 13:36:37,508,508,0
2019-11-24 14:19:54,2019-11-24 15:31:36,4302,4302,0
2019-11-24 17:59:16,2019-11-24 18:01:23,127,125,2
2019-11-24 18:21:37,2019-11-24 18:28:48,431,395,36
2019-11-24 23:57:20,2019-11-25 00:11:19,839,839,0
2019-11-25 00:50:59,2019-11-25 00:54:02,183,183,0
2019-11-25 01:58:05,2019-11-25 01:59:21,76,73,3
2019-11-25 02:22:16,2019-11-25 02:24:08,112,112,0
2019-11-25 03:03:26,2019-11-25 05:03:53,7227,7227,0
2019-11-25 05:22:54,2019-11-25 07:00:03,5829,5829,0
2019-11-25 07:35:56,2019-11-25 08:09:15,1999,1999,0
2019-11-25 08:45:30,2019-11-25 09:25:46,2416,2416,0
2019-11-25 09:34:42,2019-11-25 09:54:18,1176,1176,0
2019-11-25 11:04:29,2019-11-25 12:01:02,3393,3393,0
2019-11-25 14:05:31,2019-11-25 14:06:14,43,43,0
2019-11-25 16:10:12,2019-11-25 17:08:31,3499,3499,0
2019-11-25 18:22:57,2019-11-25 20:12:53,6596,6596,0
2019-11-25 20:58:01,2019-11-25 21:02:54,293,293,0
2019-11-26 00:37:06,2019-11-26 00:39:26,140,113,27
2019-11-26 00:54:21,2019-11-26 02:26:21,5520,5520,0
2019-11-26 03:01:36,2019-11-26 03:15:15,819,819,0
2019-11-26 04:06:25,2019-11-26 04:18:43,738,738,0
2019-11-26 04:20:04,2019-11-26 05:33:26,4402,4402,0
2019-11-26 06:04:59,2019-11-26 06:26:31,1292,1292,0
2019-11-26 23:57:48,2019-11-27 00:00:36,168,61,107
2019-11-27 01:51:49,2019-11-27 02:08:10,981,981,0
2019-11-27 02:34:04,2019-11-27 05:17:05,9781,9781,0
2019-11-27 05:57:51,2019-11-27 05:58:26,35,35,0
2019-11-27 06:05:25,2019-11-27 07:37:27,5522,5522,0
2019-11-27 08:20:50,2019-11-27 08:21:45,55,55,0
2019-11-27 08:47:48,2019-11-27 10:11:09,5001,5001,0
2019-11-27 12:16:49,2019-11-27 12:18:28,99,99,0
2019-11-27 12:31:46,2019-11-27 12:59:02,1636,1553,83
2019-11-27 13:22:30,2019-11-27 13:28:25,355,355,0
2019-11-27 13:51:56,2019-11-27 13:56:31,275,275,0
2019-11-27 14:13:24,2019-11-27 14:45:31,1927,1920,7
2019-11-27 16:11:48,2019-11-27 18:26:57,8109,8109,0
2019-11-27 23:56:52,2019-11-28 03:22:58,12366,12366,0
2019-11-28 03:52:54,2019-11-28 06:33:58,9664,9664,0
2019-11-28 07:01:10,2019-11-28 08:09:44,4114,4114,0
2019-11-28 09:14:56,2019-11-28 10:48:22,5606,5606,0
2019-11-28 11:47:10,2019-11-28 11:49:07,117,117,0
2019-11-28 14:53:50,2019-11-28 14:53:52,2,2,0
2019-11-28 14:53:28,2019-11-28 14:59:34,366,366,0
2019-11-28 16:24:29,2019-11-28 18:22:08,7059,7059,0
2019-11-28 18:33:35,2019-11-28 19:13:36,2401,2401,0
2019-11-28 19:14:49,2019-11-28 19:58:47,2638,2638,0
2019-11-28 21:38:34,2019-11-28 22:54:27,4553,4553,0
2019-11-29 00:05:14,2019-11-29 00:21:30,976,976,0
2019-11-29 00:22:34,2019-11-29 01:55:49,5595,5595,0
2019-11-29 02:46:15,2019-11-29 04:47:10,7255,7255,0
2019-11-29 05:49:34,2019-11-29 07:05:37,4563,4563,0
2019-11-29 07:26:37,2019-11-29 07:26:40,3,3,0
2019-11-29 07:24:28,2019-11-29 07:41:27,1019,1019,0
2019-11-29 08:04:20,2019-11-29 09:15:07,4247,4247,0
2019-11-29 11:23:10,2019-11-29 12:05:37,2547,2547,0
2019-11-29 12:34:46,2019-11-29 13:12:18,2252,2252,0
2019-11-29 15:26:31,2019-11-29 17:02:42,5771,5771,0
2019-11-29 19:00:34,2019-11-29 19:35:46,2112,2112,0
2019-11-29 21:21:08,2019-11-29 21:26:14,306,306,0
2019-11-29 21:54:04,2019-11-29 23:17:03,4979,4979,0
2019-11-30 00:37:00,2019-11-30 03:02:20,8720,8720,0
2019-11-30 03:40:14,2019-11-30 07:15:04,12890,12890,0
2019-11-30 08:11:29,2019-11-30 09:18:58,4049,4049,0
2019-11-30 10:06:43,2019-11-30 10:44:49,2286,2286,0
2019-11-30 11:05:59,2019-11-30 11:47:08,2469,2469,0
2019-11-30 16:18:24,2019-11-30 18:13:15,6891,6661,230
2019-11-30 21:46:00,2019-11-30 23:06:14,4814,4814,0
2019-12-01 01:01:59,2019-12-01 01:14:48,769,769,0
2019-12-01 01:55:06,2019-12-01 05:33:22,13096,13096,0
2019-12-01 13:59:34,2019-12-01 14:07:32,478,478,0
2019-12-01 15:01:18,2019-12-01 15:03:04,106,106,0
2019-12-01 16:42:34,2019-12-01 18:35:36,6782,6782,0
2019-12-01 20:38:34,2019-12-01 21:42:51,3857,3857,0
2019-12-02 00:27:12,2019-12-02 00:41:41,869,869,0
2019-12-02 00:54:08,2019-12-02 00:57:54,226,226,0
2019-12-02 01:13:09,2019-12-02 03:26:58,8029,8029,0
2019-12-02 03:48:56,2019-12-02 05:25:44,5808,5808,0
2019-12-02 06:35:02,2019-12-02 07:31:58,3416,3416,0
2019-12-02 08:00:35,2019-12-02 08:22:03,1288,1288,0
2019-12-02 08:25:21,2019-12-02 08:25:23,2,2,0
2019-12-02 08:33:56,2019-12-02 09:46:56,4380,4380,0
2019-12-02 13:52:10,2019-12-02 14:00:46,516,516,0
2019-12-02 15:13:28,2019-12-02 15:48:02,2074,2074,0
2019-12-02 15:48:27,2019-12-02 15:49:32,65,65,0
2019-12-02 16:17:50,2019-12-02 16:44:00,1570,1570,0
